forecaster,cycle,date,state,call,source,notes
Cook,1998,3/11/1997,NH,Likely D,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,NM,Lean R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,NV,Toss-up,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,NY,Lean R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,OH,Toss-up,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,OK,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,OR,Likely D,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,PA,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,SC,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,SD,Solid R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,TN,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,TX,Solid R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,VT,Solid D,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,WI,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,WY,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,AK,Lean D,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,AL,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,AR,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,AZ,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,CA,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,CO,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,CT,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,FL,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,GA,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,HI,Likely D,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,IA,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,ID,Solid R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
